name,value,year,lastValue,rank
MASSACHUSETTS,,2,a,b
NORTHERN MARIANA ISLANDS,,2,a,b
EAST SOUTH CENTRAL,,2,a,b
VERMONT,,2,a,b
NEW HAMPSHIRE,,2,a,b
MINNESOTA,,2,a,b
PACIFIC,,2,a,b
KENTUCKY,,2,a,b
PENNSYLVANIA,,2,a,b
NEW MEXICO,,2,a,b
WASHINGTON,,2,a,b
NEVADA,,2,a,b
US RESIDENTS,,2,a,b
EAST NORTH CENTRAL,,2,a,b
NORTH DAKOTA,,2,a,b
GUAM,,2,a,b
TENNESSEE,,2,a,b
US TERRITORIES,,2,a,b
RHODE ISLAND,,2,a,b
UTAH,,2,a,b
NEW YORK,,2,a,b
MONTANA,,2,a,b
MOUNTAIN,,3,a,b
NEBRASKA,,3,a,b
FLORIDA,,3,a,b
WEST NORTH CENTRAL,,3,a,b
NEW ENGLAND,,3,a,b
GUAM,,3,a,b
MISSISSIPPI,,3,a,b
SOUTH ATLANTIC,,3,a,b
VERMONT,,3,a,b
SOUTH DAKOTA,,3,a,b
LOUISIANA,,3,a,b
OKLAHOMA,,3,a,b
WEST SOUTH CENTRAL,,3,a,b
PUERTO RICO,,3,a,b
ARKANSAS,,3,a,b
TOTAL,2,3,a,b
MAINE,,3,a,b
NEW YORK CITY,2,3,a,b
EAST NORTH CENTRAL,,3,a,b
TEXAS,,3,a,b
WEST VIRGINIA,,3,a,b
NORTH CAROLINA,,3,a,b
DELAWARE,,3,a,b
NEVADA,,3,a,b
MONTANA,,3,a,b
U.S. VIRGIN ISLANDS,,3,a,b
MINNESOTA,,3,a,b
OHIO,,3,a,b
NEW MEXICO,,3,a,b
MASSACHUSETTS,,3,a,b
MARYLAND,,3,a,b
ALASKA,,3,a,b
GEORGIA,,3,a,b
NEW HAMPSHIRE,,3,a,b
COLORADO,,3,a,b
VIRGINIA,,3,a,b
AMERICAN SAMOA,,3,a,b
WASHINGTON,,3,a,b
NORTH DAKOTA,,3,a,b
CALIFORNIA,,3,a,b
INDIANA,,3,a,b
KANSAS,,3,a,b
SOUTH CAROLINA,,3,a,b
NEW YORK,,3,a,b
KENTUCKY,,3,a,b
ILLINOIS,,3,a,b
IOWA,,3,a,b
UTAH,,3,a,b
NON-US RESIDENTS,,3,a,b
WISCONSIN,,3,a,b
TENNESSEE,,3,a,b
IDAHO,,3,a,b
WYOMING,,3,a,b
MIDDDLE ATLANTIC,2,3,a,b
RHODE ISLAND,,3,a,b
DISTRICT OF COLUMBIA,,3,a,b
MISSOURI,,3,a,b
ARIZONA,,3,a,b
MICHIGAN,,3,a,b
NORTHERN MARIANA ISLANDS,,3,a,b
EAST SOUTH CENTRAL,,3,a,b
CONNECTICUT,,3,a,b
NEW JERSEY,,3,a,b
PACIFIC,,3,a,b
OREGON,,3,a,b
US RESIDENTS,2,3,a,b
US TERRITORIES,,3,a,b
ALABAMA,,3,a,b
PENNSYLVANIA,,3,a,b
HAWAII,,3,a,b
HAWAII,,4,a,b
ALASKA,,4,a,b
NEW YORK CITY,5,4,a,b
TENNESSEE,,4,a,b
DISTRICT OF COLUMBIA,,4,a,b
MAINE,,4,a,b
OKLAHOMA,,4,a,b
NEW ENGLAND,,4,a,b
WEST SOUTH CENTRAL,,4,a,b
PENNSYLVANIA,,4,a,b
UTAH,,4,a,b
RHODE ISLAND,,4,a,b
LOUISIANA,,4,a,b
KANSAS,,4,a,b
U.S. VIRGIN ISLANDS,,4,a,b
NEW JERSEY,,4,a,b
TEXAS,,4,a,b
GEORGIA,,4,a,b
NORTH CAROLINA,,4,a,b
COLORADO,,4,a,b
ILLINOIS,,4,a,b
MONTANA,,4,a,b
SOUTH ATLANTIC,,4,a,b
AMERICAN SAMOA,,4,a,b
IDAHO,,4,a,b
CONNECTICUT,,4,a,b
WEST NORTH CENTRAL,,4,a,b
US TERRITORIES,,4,a,b
NORTH DAKOTA,,4,a,b
WASHINGTON,,4,a,b
GUAM,,4,a,b
FLORIDA,,4,a,b
NON-US RESIDENTS,,4,a,b
US RESIDENTS,5,4,a,b
NEW YORK,,4,a,b
MASSACHUSETTS,,4,a,b
MINNESOTA,,4,a,b
WEST VIRGINIA,,4,a,b
NEW MEXICO,,4,a,b
EAST SOUTH CENTRAL,,4,a,b
ARIZONA,,4,a,b
MOUNTAIN,,4,a,b
VIRGINIA,,4,a,b
MARYLAND,,4,a,b
PACIFIC,,4,a,b
WISCONSIN,,4,a,b
KENTUCKY,,4,a,b
SOUTH CAROLINA,,4,a,b
IOWA,,4,a,b
MICHIGAN,,4,a,b
WYOMING,,4,a,b
NORTHERN MARIANA ISLANDS,,4,a,b
ALABAMA,,4,a,b
NEBRASKA,,4,a,b
NEVADA,,4,a,b
SOUTH DAKOTA,,4,a,b
MISSOURI,,4,a,b
DELAWARE,,4,a,b
TOTAL,5,4,a,b
EAST NORTH CENTRAL,,4,a,b
NEW HAMPSHIRE,,4,a,b
INDIANA,,4,a,b
CALIFORNIA,,4,a,b
PUERTO RICO,,4,a,b
OREGON,,4,a,b
OHIO,,4,a,b
MIDDDLE ATLANTIC,5,4,a,b
ARKANSAS,,4,a,b
VERMONT,,4,a,b
MISSISSIPPI,,4,a,b
NEW MEXICO,,5,a,b
SOUTH ATLANTIC,,5,a,b
UTAH,,5,a,b
NEW JERSEY,,5,a,b
CONNECTICUT,,5,a,b
US RESIDENTS,8,5,a,b
COLORADO,,5,a,b
ALASKA,,5,a,b
IDAHO,,5,a,b
US TERRITORIES,,5,a,b
NEW HAMPSHIRE,,5,a,b
MINNESOTA,,5,a,b
ILLINOIS,,5,a,b
PACIFIC,1,5,a,b
GUAM,,5,a,b
SOUTH CAROLINA,,5,a,b
FLORIDA,,5,a,b
KANSAS,,5,a,b
INDIANA,,5,a,b
SOUTH DAKOTA,,5,a,b
EAST SOUTH CENTRAL,,5,a,b
MISSOURI,,5,a,b
NEW ENGLAND,,5,a,b
NORTH DAKOTA,,5,a,b
CALIFORNIA,,5,a,b
WISCONSIN,,5,a,b
LOUISIANA,,5,a,b
WEST VIRGINIA,,5,a,b
TEXAS,,5,a,b
MISSISSIPPI,,5,a,b
NON-US RESIDENTS,,5,a,b
WEST SOUTH CENTRAL,,5,a,b
IOWA,,5,a,b
ARIZONA,,5,a,b
EAST NORTH CENTRAL,,5,a,b
TENNESSEE,,5,a,b
OHIO,,5,a,b
NORTHERN MARIANA ISLANDS,,5,a,b
HAWAII,,5,a,b
VIRGINIA,,5,a,b
GEORGIA,,5,a,b
TOTAL,8,5,a,b
NORTH CAROLINA,,5,a,b
VERMONT,,5,a,b
DISTRICT OF COLUMBIA,,5,a,b
NEW YORK,,5,a,b
PUERTO RICO,,5,a,b
WEST NORTH CENTRAL,,5,a,b
MARYLAND,,5,a,b
WASHINGTON,,5,a,b
NEBRASKA,,5,a,b
WYOMING,,5,a,b
AMERICAN SAMOA,,5,a,b
NEVADA,,5,a,b
NEW YORK CITY,7,5,a,b
MOUNTAIN,,5,a,b
RHODE ISLAND,,5,a,b
MICHIGAN,,5,a,b
MAINE,,5,a,b
KENTUCKY,,5,a,b
DELAWARE,,5,a,b
MONTANA,,5,a,b
PENNSYLVANIA,,5,a,b
U.S. VIRGIN ISLANDS,,5,a,b
ALABAMA,,5,a,b
MIDDDLE ATLANTIC,7,5,a,b
MASSACHUSETTS,,5,a,b
OREGON,1,5,a,b
ARKANSAS,,5,a,b
OKLAHOMA,,5,a,b
WEST VIRGINIA,,6,a,b
OREGON,2,6,a,b
IDAHO,,6,a,b
FLORIDA,,6,a,b
WEST SOUTH CENTRAL,1,6,a,b
KANSAS,,6,a,b
NEW ENGLAND,2,6,a,b
NEW YORK CITY,7,6,a,b
ARIZONA,,6,a,b
VERMONT,,6,a,b
MINNESOTA,,6,a,b
NEW MEXICO,,6,a,b
NEW YORK,1,6,a,b
CALIFORNIA,,6,a,b
NEBRASKA,,6,a,b
SOUTH ATLANTIC,,6,a,b
UTAH,,6,a,b
TEXAS,1,6,a,b
ILLINOIS,,6,a,b
EAST NORTH CENTRAL,,6,a,b
US TERRITORIES,,6,a,b
NORTHERN MARIANA ISLANDS,,6,a,b
WASHINGTON,,6,a,b
LOUISIANA,,6,a,b
CONNECTICUT,2,6,a,b
PUERTO RICO,,6,a,b
PENNSYLVANIA,,6,a,b
U.S. VIRGIN ISLANDS,,6,a,b
SOUTH CAROLINA,,6,a,b
MOUNTAIN,,6,a,b
COLORADO,,6,a,b
OHIO,,6,a,b
NON-US RESIDENTS,,6,a,b
MICHIGAN,,6,a,b
TENNESSEE,,6,a,b
IOWA,,6,a,b
WYOMING,,6,a,b
KENTUCKY,,6,a,b
NEW HAMPSHIRE,,6,a,b
NORTH DAKOTA,,6,a,b
MONTANA,,6,a,b
WEST NORTH CENTRAL,,6,a,b
INDIANA,,6,a,b
MISSOURI,,6,a,b
WISCONSIN,,6,a,b
VIRGINIA,,6,a,b
HAWAII,,6,a,b
NEW JERSEY,,6,a,b
TOTAL,13,6,a,b
AMERICAN SAMOA,,6,a,b
ARKANSAS,,6,a,b
NORTH CAROLINA,,6,a,b
MASSACHUSETTS,,6,a,b
US RESIDENTS,13,6,a,b
OKLAHOMA,,6,a,b
SOUTH DAKOTA,,6,a,b
PACIFIC,2,6,a,b
GUAM,,6,a,b
NEVADA,,6,a,b
MARYLAND,,6,a,b
MIDDDLE ATLANTIC,8,6,a,b
MAINE,,6,a,b
DELAWARE,,6,a,b
EAST SOUTH CENTRAL,,6,a,b
ALASKA,,6,a,b
GEORGIA,,6,a,b
MISSISSIPPI,,6,a,b
DISTRICT OF COLUMBIA,,6,a,b
ALABAMA,,6,a,b
RHODE ISLAND,,6,a,b
PACIFIC,2,7,a,b
VIRGINIA,,7,a,b
TOTAL,25,7,a,b
UTAH,,7,a,b
GUAM,,7,a,b
TEXAS,7,7,a,b
SOUTH ATLANTIC,,7,a,b
PENNSYLVANIA,,7,a,b
EAST NORTH CENTRAL,1,7,a,b
COLORADO,,7,a,b
ARKANSAS,,7,a,b
US RESIDENTS,25,7,a,b
MIDDDLE ATLANTIC,13,7,a,b
WEST SOUTH CENTRAL,7,7,a,b
U.S. VIRGIN ISLANDS,,7,a,b
NEW YORK,1,7,a,b
NEW MEXICO,,7,a,b
OREGON,2,7,a,b
MICHIGAN,,7,a,b
NORTH DAKOTA,,7,a,b
WYOMING,,7,a,b
MOUNTAIN,,7,a,b
CALIFORNIA,,7,a,b
MONTANA,,7,a,b
WEST VIRGINIA,,7,a,b
IDAHO,,7,a,b
ARIZONA,,7,a,b
VERMONT,,7,a,b
DISTRICT OF COLUMBIA,,7,a,b
SOUTH CAROLINA,,7,a,b
RHODE ISLAND,,7,a,b
TENNESSEE,,7,a,b
OKLAHOMA,,7,a,b
NEW HAMPSHIRE,,7,a,b
WISCONSIN,,7,a,b
NEVADA,,7,a,b
SOUTH DAKOTA,,7,a,b
CONNECTICUT,2,7,a,b
OHIO,,7,a,b
INDIANA,,7,a,b
MISSOURI,,7,a,b
KANSAS,,7,a,b
ILLINOIS,1,7,a,b
GEORGIA,,7,a,b
MASSACHUSETTS,,7,a,b
DELAWARE,,7,a,b
MINNESOTA,,7,a,b
US TERRITORIES,,7,a,b
NORTH CAROLINA,,7,a,b
NEW JERSEY,,7,a,b
AMERICAN SAMOA,,7,a,b
NEBRASKA,,7,a,b
NON-US RESIDENTS,,7,a,b
FLORIDA,,7,a,b
EAST SOUTH CENTRAL,,7,a,b
MARYLAND,,7,a,b
PUERTO RICO,,7,a,b
WASHINGTON,,7,a,b
NEW ENGLAND,2,7,a,b
KENTUCKY,,7,a,b
MISSISSIPPI,,7,a,b
ALASKA,,7,a,b
MAINE,,7,a,b
IOWA,,7,a,b
NORTHERN MARIANA ISLANDS,,7,a,b
ALABAMA,,7,a,b
WEST NORTH CENTRAL,,7,a,b
HAWAII,,7,a,b
LOUISIANA,,7,a,b
NEW YORK CITY,12,7,a,b
COLORADO,,8,a,b
INDIANA,,8,a,b
OHIO,,8,a,b
MARYLAND,,8,a,b
AMERICAN SAMOA,,8,a,b
MASSACHUSETTS,,8,a,b
WEST SOUTH CENTRAL,7,8,a,b
MIDDDLE ATLANTIC,32,8,a,b
NORTHERN MARIANA ISLANDS,,8,a,b
MICHIGAN,,8,a,b
NON-US RESIDENTS,,8,a,b
US RESIDENTS,46,8,a,b
NEW JERSEY,,8,a,b
NEBRASKA,,8,a,b
MAINE,,8,a,b
ARKANSAS,,8,a,b
IDAHO,,8,a,b
NORTH CAROLINA,,8,a,b
WEST NORTH CENTRAL,,8,a,b
EAST NORTH CENTRAL,2,8,a,b
FLORIDA,,8,a,b
SOUTH CAROLINA,,8,a,b
KENTUCKY,,8,a,b
NEVADA,,8,a,b
NORTH DAKOTA,,8,a,b
NEW MEXICO,,8,a,b
MINNESOTA,,8,a,b
CALIFORNIA,,8,a,b
GUAM,,8,a,b
U.S. VIRGIN ISLANDS,,8,a,b
WYOMING,,8,a,b
TEXAS,7,8,a,b
NEW YORK CITY,31,8,a,b
OREGON,3,8,a,b
ARIZONA,,8,a,b
WASHINGTON,,8,a,b
LOUISIANA,,8,a,b
VIRGINIA,,8,a,b
DISTRICT OF COLUMBIA,,8,a,b
NEW YORK,1,8,a,b
IOWA,,8,a,b
EAST SOUTH CENTRAL,,8,a,b
VERMONT,,8,a,b
MISSISSIPPI,,8,a,b
UTAH,,8,a,b
WEST VIRGINIA,,8,a,b
SOUTH DAKOTA,,8,a,b
CONNECTICUT,2,8,a,b
DELAWARE,,8,a,b
US TERRITORIES,,8,a,b
GEORGIA,,8,a,b
PENNSYLVANIA,,8,a,b
PUERTO RICO,,8,a,b
OKLAHOMA,,8,a,b
SOUTH ATLANTIC,,8,a,b
TENNESSEE,,8,a,b
WISCONSIN,,8,a,b
NEW HAMPSHIRE,,8,a,b
PACIFIC,3,8,a,b
TOTAL,46,8,a,b
ALABAMA,,8,a,b
NEW ENGLAND,2,8,a,b
MOUNTAIN,,8,a,b
RHODE ISLAND,,8,a,b
MISSOURI,,8,a,b
ILLINOIS,2,8,a,b
HAWAII,,8,a,b
ALASKA,,8,a,b
KANSAS,,8,a,b
MONTANA,,8,a,b
KENTUCKY,,9,a,b
NORTH CAROLINA,,9,a,b
IOWA,,9,a,b
WASHINGTON,,9,a,b
MONTANA,,9,a,b
MINNESOTA,,9,a,b
MISSOURI,,9,a,b
MARYLAND,,9,a,b
CALIFORNIA,,9,a,b
ARKANSAS,,9,a,b
IDAHO,,9,a,b
SOUTH DAKOTA,,9,a,b
WISCONSIN,,9,a,b
ALABAMA,,9,a,b
MAINE,,9,a,b
GEORGIA,,9,a,b
NEW YORK,1,9,a,b
NEW YORK CITY,47,9,a,b
MISSISSIPPI,,9,a,b
SOUTH CAROLINA,,9,a,b
WEST VIRGINIA,,9,a,b
SOUTH ATLANTIC,,9,a,b
MOUNTAIN,,9,a,b
AMERICAN SAMOA,,9,a,b
KANSAS,,9,a,b
TOTAL,64,9,a,b
VIRGINIA,,9,a,b
HAWAII,,9,a,b
DISTRICT OF COLUMBIA,,9,a,b
MIDDLE ATLANTIC,48,9,a,b
PACIFIC,4,9,a,b
ILLINOIS,3,9,a,b
NEW HAMPSHIRE,,9,a,b
PENNSYLVANIA,,9,a,b
NORTH DAKOTA,,9,a,b
DELAWARE,,9,a,b
PUERTO RICO,,9,a,b
INDIANA,,9,a,b
CONNECTICUT,2,9,a,b
OHIO,,9,a,b
WEST NORTH CENTRAL,,9,a,b
LOUISIANA,,9,a,b
NEVADA,,9,a,b
NON-US RESIDENTS,,9,a,b
NEW ENGLAND,2,9,a,b
NEW MEXICO,,9,a,b
NORTHERN MARIANA ISLANDS,,9,a,b
COLORADO,,9,a,b
ALASKA,,9,a,b
RHODE ISLAND,,9,a,b
NEBRASKA,,9,a,b
EAST NORTH CENTRAL,3,9,a,b
WEST SOUTH CENTRAL,7,9,a,b
GUAM,,9,a,b
OKLAHOMA,,9,a,b
OREGON,4,9,a,b
UTAH,,9,a,b
VERMONT,,9,a,b
MICHIGAN,,9,a,b
ARIZONA,,9,a,b
NEW JERSEY,,9,a,b
TENNESSEE,,9,a,b
U.S. VIRGIN ISLANDS,,9,a,b
US TERRITORIES,,9,a,b
WYOMING,,9,a,b
MASSACHUSETTS,,9,a,b
EAST SOUTH CENTRAL,,9,a,b
TEXAS,7,9,a,b
US RESIDENTS,64,9,a,b
FLORIDA,,9,a,b
MISSISSIPPI,,10,a,b
MIDDLE ATLANTIC,66,10,a,b
NEW HAMPSHIRE,,10,a,b
NON-US RESIDENTS,,10,a,b
MOUNTAIN,,10,a,b
COLORADO,,10,a,b
EAST NORTH CENTRAL,3,10,a,b
U.S. VIRGIN ISLANDS,,10,a,b
NORTH CAROLINA,,10,a,b
VERMONT,,10,a,b
OHIO,,10,a,b
NEVADA,,10,a,b
NORTH DAKOTA,,10,a,b
MISSOURI,,10,a,b
LOUISIANA,,10,a,b
MONTANA,,10,a,b
NEW MEXICO,,10,a,b
GUAM,,10,a,b
WEST NORTH CENTRAL,,10,a,b
PENNSYLVANIA,,10,a,b
NEW JERSEY,,10,a,b
TENNESSEE,,10,a,b
ALASKA,,10,a,b
WEST SOUTH CENTRAL,7,10,a,b
DELAWARE,,10,a,b
ILLINOIS,3,10,a,b
EAST SOUTH CENTRAL,1,10,a,b
ARIZONA,,10,a,b
PUERTO RICO,,10,a,b
GEORGIA,,10,a,b
NORTHERN MARIANA ISLANDS,,10,a,b
IDAHO,,10,a,b
ALABAMA,,10,a,b
US TERRITORIES,,10,a,b
WYOMING,,10,a,b
OREGON,4,10,a,b
KENTUCKY,1,10,a,b
MAINE,,10,a,b
AMERICAN SAMOA,,10,a,b
FLORIDA,,10,a,b
MASSACHUSETTS,,10,a,b
MINNESOTA,,10,a,b
SOUTH DAKOTA,,10,a,b
SOUTH CAROLINA,,10,a,b
HAWAII,,10,a,b
WISCONSIN,,10,a,b
US RESIDENTS,83,10,a,b
MARYLAND,,10,a,b
TOTAL,83,10,a,b
UTAH,,10,a,b
NEW ENGLAND,2,10,a,b
PACIFIC,4,10,a,b
VIRGINIA,,10,a,b
NEBRASKA,,10,a,b
INDIANA,,10,a,b
SOUTH ATLANTIC,,10,a,b
WASHINGTON,,10,a,b
ARKANSAS,,10,a,b
NEW YORK,1,10,a,b
CALIFORNIA,,10,a,b
WEST VIRGINIA,,10,a,b
KANSAS,,10,a,b
CONNECTICUT,2,10,a,b
TEXAS,7,10,a,b
MICHIGAN,,10,a,b
DISTRICT OF COLUMBIA,,10,a,b
OKLAHOMA,,10,a,b
NEW YORK CITY,65,10,a,b
IOWA,,10,a,b
RHODE ISLAND,,10,a,b
SOUTH ATLANTIC,,11,a,b
LOUISIANA,,11,a,b
NORTHERN MARIANA ISLANDS,,11,a,b
NEW ENGLAND,2,11,a,b
ILLINOIS,4,11,a,b
MASSACHUSETTS,,11,a,b
EAST SOUTH CENTRAL,1,11,a,b
NEW YORK,3,11,a,b
WYOMING,,11,a,b
ARKANSAS,,11,a,b
MICHIGAN,,11,a,b
NEW JERSEY,,11,a,b
NORTH CAROLINA,,11,a,b
GEORGIA,,11,a,b
IDAHO,,11,a,b
PENNSYLVANIA,,11,a,b
CONNECTICUT,2,11,a,b
ALABAMA,,11,a,b
NEVADA,,11,a,b
TENNESSEE,,11,a,b
COLORADO,,11,a,b
AMERICAN SAMOA,,11,a,b
KANSAS,,11,a,b
WEST SOUTH CENTRAL,7,11,a,b
U.S. VIRGIN ISLANDS,,11,a,b
OREGON,5,11,a,b
US RESIDENTS,87,11,a,b
UTAH,,11,a,b
DISTRICT OF COLUMBIA,,11,a,b
MIDDLE ATLANTIC,68,11,a,b
MARYLAND,,11,a,b
SOUTH CAROLINA,,11,a,b
NEW MEXICO,,11,a,b
MINNESOTA,,11,a,b
OHIO,,11,a,b
NON-US RESIDENTS,,11,a,b
WEST VIRGINIA,,11,a,b
WISCONSIN,,11,a,b
DELAWARE,,11,a,b
HAWAII,,11,a,b
VERMONT,,11,a,b
US TERRITORIES,,11,a,b
PUERTO RICO,,11,a,b
EAST NORTH CENTRAL,4,11,a,b
TEXAS,7,11,a,b
NEBRASKA,,11,a,b
NEW YORK CITY,65,11,a,b
ARIZONA,,11,a,b
WASHINGTON,,11,a,b
MONTANA,,11,a,b
RHODE ISLAND,,11,a,b
KENTUCKY,1,11,a,b
MISSISSIPPI,,11,a,b
NORTH DAKOTA,,11,a,b
MAINE,,11,a,b
ALASKA,,11,a,b
SOUTH DAKOTA,,11,a,b
OKLAHOMA,,11,a,b
MISSOURI,,11,a,b
IOWA,,11,a,b
VIRGINIA,,11,a,b
NEW HAMPSHIRE,,11,a,b
WEST NORTH CENTRAL,,11,a,b
CALIFORNIA,,11,a,b
INDIANA,,11,a,b
GUAM,,11,a,b
FLORIDA,,11,a,b
MOUNTAIN,,11,a,b
PACIFIC,5,11,a,b
TOTAL,87,11,a,b
KENTUCKY,1,12,a,b
WYOMING,,12,a,b
MISSISSIPPI,,12,a,b
DELAWARE,,12,a,b
FLORIDA,,12,a,b
UTAH,,12,a,b
MIDDLE ATLANTIC,102,12,a,b
GEORGIA,,12,a,b
ALASKA,,12,a,b
PACIFIC,6,12,a,b
MONTANA,,12,a,b
NEW MEXICO,,12,a,b
MAINE,,12,a,b
INDIANA,,12,a,b
CONNECTICUT,2,12,a,b
MISSOURI,,12,a,b
EAST NORTH CENTRAL,4,12,a,b
WEST NORTH CENTRAL,,12,a,b
LOUISIANA,,12,a,b
NORTH DAKOTA,,12,a,b
NEVADA,,12,a,b
TEXAS,8,12,a,b
COLORADO,,12,a,b
NEW YORK,3,12,a,b
IDAHO,,12,a,b
WISCONSIN,,12,a,b
WEST VIRGINIA,,12,a,b
MOUNTAIN,,12,a,b
WEST SOUTH CENTRAL,8,12,a,b
SOUTH DAKOTA,,12,a,b
OHIO,,12,a,b
SOUTH ATLANTIC,,12,a,b
ALABAMA,,12,a,b
U.S. VIRGIN ISLANDS,,12,a,b
SOUTH CAROLINA,,12,a,b
IOWA,,12,a,b
MASSACHUSETTS,,12,a,b
VIRGINIA,,12,a,b
TENNESSEE,,12,a,b
NORTHERN MARIANA ISLANDS,,12,a,b
GUAM,,12,a,b
NEW HAMPSHIRE,,12,a,b
US TERRITORIES,,12,a,b
NON-US RESIDENTS,,12,a,b
TOTAL,123,12,a,b
NEW ENGLAND,2,12,a,b
EAST SOUTH CENTRAL,1,12,a,b
PUERTO RICO,,12,a,b
RHODE ISLAND,,12,a,b
VERMONT,,12,a,b
ILLINOIS,4,12,a,b
KANSAS,,12,a,b
PENNSYLVANIA,,12,a,b
NEBRASKA,,12,a,b
NEW YORK CITY,99,12,a,b
US RESIDENTS,123,12,a,b
DISTRICT OF COLUMBIA,,12,a,b
NORTH CAROLINA,,12,a,b
ARKANSAS,,12,a,b
ARIZONA,,12,a,b
NEW JERSEY,,12,a,b
HAWAII,,12,a,b
OREGON,6,12,a,b
CALIFORNIA,,12,a,b
WASHINGTON,,12,a,b
MICHIGAN,,12,a,b
AMERICAN SAMOA,,12,a,b
MINNESOTA,,12,a,b
MARYLAND,,12,a,b
OKLAHOMA,,12,a,b
TENNESSEE,,13,a,b
NEW YORK,3,13,a,b
ALABAMA,,13,a,b
MONTANA,,13,a,b
NEW MEXICO,,13,a,b
INDIANA,,13,a,b
MINNESOTA,,13,a,b
NEW HAMPSHIRE,,13,a,b
GEORGIA,,13,a,b
FLORIDA,,13,a,b
KANSAS,,13,a,b
RHODE ISLAND,,13,a,b
NEW ENGLAND,2,13,a,b
OKLAHOMA,,13,a,b
MIDDLE ATLANTIC,105,13,a,b
GUAM,,13,a,b
WASHINGTON,,13,a,b
MAINE,,13,a,b
ALASKA,,13,a,b
OREGON,5,13,a,b
KENTUCKY,1,13,a,b
U.S. VIRGIN ISLANDS,,13,a,b
SOUTH ATLANTIC,,13,a,b
NORTH CAROLINA,,13,a,b
US TERRITORIES,,13,a,b
HAWAII,,13,a,b
EAST SOUTH CENTRAL,1,13,a,b
LOUISIANA,,13,a,b
NEVADA,,13,a,b
