Reporting Area,MMWR Year,MMWR Week,"Malaria, Current week","Malaria, Current week, flag","Malaria, Previous 52 weeks Max†","Malaria, Previous 52 weeks Max†, flag","Malaria, Cum 2019†","Malaria, Cum 2019†, flag","Malaria, Cum 2018†","Malaria, Cum 2018†, flag","Measles§, Idigenousis, Current week","Measles§, Idigenousis, Current week, flag","Measles§, Idigenousis, Previous 52 weeks Max†","Measles§, Idigenousis, Previous 52 weeks Max†, flag","Measles§, Idigenousis, Cum 2019†","Measles§, Idigenousis, Cum 2019†, flag","Measles§, Idigenousis, Cum 2018†","Measles§, Idigenousis, Cum 2018†, flag","Measles§, Imported, Current week","Measles§, Imported, Current week, flag","Measles§, Imported, Previous 52 weeks Max†","Measles§, Imported, Previous 52 weeks Max†, flag","Measles§, Imported, Cum 2019†","Measles§, Imported, Cum 2019†, flag","Measles§, Imported, Cum 2018†","Measles§, Imported, Cum 2018†, flag",Location 1,Location 2
COLORADO,2019,1,,-,3,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
MONTANA,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
COLORADO,2019,2,,-,3,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
IDAHO,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"IDAHO
(43.680635, -114.364237)",
MARYLAND,2019,2,,-,9,,,-,6,,,-,0,,,-,,-,,-,1,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
CONNECTICUT,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
ALASKA,2019,2,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
MICHIGAN,2019,2,,-,3,,,-,,-,,-,0,,,-,,-,,-,4,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
NEW JERSEY,2019,2,,-,6,,1,,4,,,-,0,,,-,,-,,-,6,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
NON-US RESIDENTS,2019,2,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,
NEW YORK CITY,2019,2,2,,11,,3,,6,,,-,9,,,-,,-,,-,2,,,-,,-,,
LOUISIANA,2019,2,,-,2,,,-,2,,,-,0,,,-,,-,,-,1,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
CALIFORNIA,2019,2,,-,5,,,-,3,,,-,3,,,-,,-,,-,2,,1,,,-,"CALIFORNIA
(37.640735, -121.002435)",
WEST NORTH CENTRAL,2019,2,,-,5,,1,,2,,,-,5,,,-,,-,,-,6,,,-,,-,,
KANSAS,2019,2,,-,2,,1,,1,,,-,5,,,-,,-,,-,1,,,-,,-,"KANSAS
(38.345528, -98.201847)",
NEW ENGLAND,2019,2,,-,5,,,-,2,,,-,0,,,-,,-,,-,1,,,-,,-,,
SOUTH DAKOTA,2019,2,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
DELAWARE,2019,2,,-,2,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
DISTRICT OF COLUMBIA,2019,2,,-,2,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
WISCONSIN,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
TOTAL,2019,2,3,,53,,6,,42,,,-,9,,,-,,-,,-,16,,1,,2,,,
WYOMING,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
ILLINOIS,2019,2,,-,4,,,-,2,,,-,1,,,-,,-,,-,1,,,-,1,,"ILLINOIS
(40.477092, -88.993221)",
MOUNTAIN,2019,2,,-,7,,,-,1,,,-,0,,,-,,-,,-,1,,,-,,-,,
SOUTH CAROLINA,2019,2,,-,0,,,-,,-,,-,2,,,-,,-,,-,1,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
MISSOURI,2019,2,,-,3,,,-,,-,,-,0,,,-,,-,,-,6,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
PUERTO RICO,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
U.S. VIRGIN ISLANDS,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
NEBRASKA,2019,2,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
OREGON,2019,2,,-,2,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,"OREGON
(44.567912, -120.156945)",
AMERICAN SAMOA,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,
VIRGINIA,2019,2,,-,5,,,-,1,,,-,0,,,-,,-,,-,1,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
IOWA,2019,2,,-,2,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
OKLAHOMA,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
MIDDDLE ATLANTIC,2019,2,3,,24,,5,,14,,,-,9,,,-,,-,,-,16,,,-,,-,,
WEST VIRGINIA,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
HAWAII,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
NORTH CAROLINA,2019,2,,-,4,,,-,2,,,-,1,,,-,,-,,-,1,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
FLORIDA,2019,2,,-,4,,,-,,-,,-,3,,,-,,-,,-,2,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
MISSISSIPPI,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
ARKANSAS,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
MAINE,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
ARIZONA,2019,2,,-,5,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
WEST SOUTH CENTRAL,2019,2,,-,5,,,-,2,,,-,5,,,-,,-,,-,1,,,-,,-,,
INDIANA,2019,2,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,1,,"INDIANA
(39.76845, -86.156212)",
GEORGIA,2019,2,,-,7,,,-,3,,,-,0,,,-,,-,,-,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
SOUTH ATLANTIC,2019,2,,-,21,,,-,13,,,-,3,,,-,,-,,-,3,,,-,,-,,
ALABAMA,2019,2,,-,3,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
TEXAS,2019,2,,-,5,,,-,,-,,-,5,,,-,,-,,-,1,,,-,,-,"TEXAS
(31.827233, -99.423022)",
OHIO,2019,2,,-,4,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
MASSACHUSETTS,2019,2,,-,4,,,-,2,,,-,0,,,-,,-,,-,1,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
NORTHERN MARIANA ISLANDS,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
EAST SOUTH CENTRAL,2019,2,,-,4,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,,
VERMONT,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"VERMONT
(43.622479, -72.51927)",
NEW HAMPSHIRE,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
MINNESOTA,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
PACIFIC,2019,2,,-,8,,,-,4,,,-,3,,,-,,-,,-,2,,1,,,-,,
KENTUCKY,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
PENNSYLVANIA,2019,2,1,,8,,1,,2,,,-,0,,,-,,-,,-,1,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
NEW MEXICO,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
WASHINGTON,2019,2,,-,4,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
NEVADA,2019,2,,-,2,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
US RESIDENTS,2019,2,3,,53,,6,,42,,,-,9,,,-,,-,,-,16,,1,,2,,,
EAST NORTH CENTRAL,2019,2,,-,7,,,-,4,,,-,1,,,-,,-,,-,4,,,-,2,,,
NORTH DAKOTA,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
GUAM,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
TENNESSEE,2019,2,,-,2,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
US TERRITORIES,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,
RHODE ISLAND,2019,2,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
UTAH,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
NEW YORK,2019,2,,-,4,,,-,2,,,-,0,,,-,,-,,-,14,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
MONTANA,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
MOUNTAIN,2019,3,,-,7,,,-,2,,,-,0,,,-,,-,1,,1,,1,,,-,,MOUNTAIN
NEBRASKA,2019,3,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
FLORIDA,2019,3,,-,4,,,-,3,,,-,3,,,-,,-,,-,2,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
WEST NORTH CENTRAL,2019,3,1,,5,,2,,4,,,-,5,,,-,,-,,-,6,,,-,,-,,WEST NORTH CENTRAL
NEW ENGLAND,2019,3,,-,5,,1,,3,,,-,0,,,-,,-,,-,1,,,-,,-,,NEW ENGLAND
GUAM,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
MISSISSIPPI,2019,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
SOUTH ATLANTIC,2019,3,3,,21,,5,,19,,,-,3,,,-,,-,,-,3,,,-,,-,,SOUTH ATLANTIC
VERMONT,2019,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"VERMONT
(43.622479, -72.51927)",
SOUTH DAKOTA,2019,3,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
LOUISIANA,2019,3,,-,1,,1,,2,,,-,0,,,-,,-,,-,1,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
OKLAHOMA,2019,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
WEST SOUTH CENTRAL,2019,3,1,,5,,2,,2,,,-,5,,,-,,-,,-,1,,,-,1,,,WEST SOUTH CENTRAL
PUERTO RICO,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
ARKANSAS,2019,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,1,,"ARKANSAS
(34.748745, -92.275105)",
TOTAL,2019,3,10,,53,,23,,64,,,-,9,,2,,,-,5,,18,,10,,4,,,TOTAL
MAINE,2019,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
NEW YORK CITY,2019,3,1,,11,,5,,7,,,-,9,,2,,,-,,-,2,,,-,,-,,NEW YORK CITY
EAST NORTH CENTRAL,2019,3,,-,7,,,-,8,,,-,1,,,-,,-,,-,4,,,-,2,,,EAST NORTH CENTRAL
TEXAS,2019,3,1,,5,,1,,,-,,-,5,,,-,,-,,-,1,,,-,,-,"TEXAS
(31.827233, -99.423022)",
WEST VIRGINIA,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
NORTH CAROLINA,2019,3,,-,4,,,-,2,,,-,1,,,-,,-,,-,1,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
DELAWARE,2019,3,,-,2,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
NEVADA,2019,3,,-,2,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
MONTANA,2019,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
U.S. VIRGIN ISLANDS,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
MINNESOTA,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
OHIO,2019,3,,-,4,,,-,2,,,-,0,,,-,,-,,-,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
NEW MEXICO,2019,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
MASSACHUSETTS,2019,3,,-,4,,1,,2,,,-,0,,,-,,-,,-,1,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
MARYLAND,2019,3,2,,9,,2,,7,,,-,0,,,-,,-,,-,1,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
ALASKA,2019,3,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
GEORGIA,2019,3,,-,7,,,-,4,,,-,0,,,-,,-,,-,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
NEW HAMPSHIRE,2019,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
COLORADO,2019,3,,-,3,,,-,2,,,-,0,,,-,,-,1,,0,,1,,,-,"COLORADO
(38.841772, -106.132562)",
VIRGINIA,2019,3,1,,5,,2,,1,,,-,0,,,-,,-,,-,1,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
AMERICAN SAMOA,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA
WASHINGTON,2019,3,,-,4,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
NORTH DAKOTA,2019,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
CALIFORNIA,2019,3,,-,5,,1,,4,,,-,3,,,-,,-,,-,2,,1,,,-,"CALIFORNIA
(37.640735, -121.002435)",
INDIANA,2019,3,,-,1,,,-,2,,,-,0,,,-,,-,,-,0,,,-,1,,"INDIANA
(39.76845, -86.156212)",
KANSAS,2019,3,,-,2,,1,,2,,,-,5,,,-,,-,,-,1,,,-,,-,"KANSAS
(38.345528, -98.201847)",
SOUTH CAROLINA,2019,3,,-,0,,,-,,-,,-,2,,,-,,-,,-,1,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
NEW YORK,2019,3,2,,4,,2,,3,,,-,0,,,-,,-,4,,14,,6,,,-,"NEW YORK
(42.826892, -75.544286)",
KENTUCKY,2019,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
ILLINOIS,2019,3,,-,4,,,-,3,,,-,1,,,-,,-,,-,1,,,-,1,,"ILLINOIS
(40.477092, -88.993221)",
